Packet ID: 1 , latency: 0.000221 sec
Packet ID: 0 , latency: 0.000340125 sec
Packet ID: 2 , latency: 0.000156083 sec
Packet ID: 3 , latency: 1.005789834 sec
Packet ID: 7 , latency: 0.000149875 sec
Packet ID: 6 , latency: 0.000299042 sec
Packet ID: 4 , latency: 1.004861583 sec
Packet ID: 8 , latency: 0.00009125 sec
Packet ID: 10 , latency: 0.000043916 sec
Packet ID: 9 , latency: 0.00004875 sec
Packet ID: 5 , latency: 2.009999291 sec
Packet ID: 12 , latency: 0.000603334 sec
Packet ID: 15 , latency: 0.000136042 sec
Packet ID: 11 , latency: 0.000712709 sec
Packet ID: 18 , latency: 0.000427542 sec
Packet ID: 16 , latency: 0.000717542 sec
Packet ID: 19 , latency: 0.000171208 sec
Packet ID: 13 , latency: 1.0040955 sec
Packet ID: 22 , latency: 0.000266041 sec
Packet ID: 23 , latency: 0.000131458 sec
Packet ID: 20 , latency: 0.000559708 sec
Packet ID: 14 , latency: 2.008491625 sec
Packet ID: 24 , latency: 0.00010975 sec
Packet ID: 21 , latency: 1.006200583 sec
Packet ID: 17 , latency: 2.0108605 sec
Packet ID: 28 , latency: 0.000142917 sec
Packet ID: 27 , latency: 0.000165833 sec
Packet ID: 26 , latency: 0.000429375 sec
Packet ID: 25 , latency: 0.000578958 sec
Packet ID: 29 , latency: 0.000718958 sec
Packet ID: 33 , latency: 0.000149125 sec
Packet ID: 31 , latency: 0.000306791 sec
Packet ID: 30 , latency: 0.000566958 sec
Packet ID: 32 , latency: 1.00655925 sec
Packet ID: 34 , latency: 0.000679208 sec
Packet ID: 36 , latency: 0.000389791 sec
Packet ID: 35 , latency: 1.006457625 sec
Packet ID: 39 , latency: 0.000470875 sec
Packet ID: 38 , latency: 1.006045833 sec
Packet ID: 37 , latency: 2.009852791 sec
Packet ID: 45 , latency: 0.000137 sec
Packet ID: 46 , latency: 0.000110416 sec
Packet ID: 40 , latency: 2.010386541 sec
Packet ID: 48 , latency: 1.006382375 sec
Packet ID: 49 , latency: 0.000974666 sec
Packet ID: 41 , latency: 3.0163065 sec
Packet ID: 55 , latency: 0.000292917 sec
Packet ID: 51 , latency: 1.006459917 sec
Packet ID: 42 , latency: 4.022598792 sec
Packet ID: 58 , latency: 0.000847583 sec
Packet ID: 52 , latency: 2.012709875 sec
Packet ID: 59 , latency: 0.000698125 sec
Packet ID: 43 , latency: 5.028340625 sec
Packet ID: 61 , latency: 1.006224042 sec
Packet ID: 60 , latency: 1.00627175 sec
Packet ID: 44 , latency: 5.031091125 sec
Packet ID: 63 , latency: 1.006561791 sec
Packet ID: 65 , latency: 0.000733375 sec
Packet ID: 47 , latency: 6.03236275 sec
Packet ID: 68 , latency: 1.001832375 sec
Packet ID: 66 , latency: 1.001985083 sec
Packet ID: 50 , latency: 6.032936916 sec
Packet ID: 67 , latency: 2.008130916 sec
Packet ID: 75 , latency: 0.000450875 sec
Packet ID: 53 , latency: 7.038431375 sec
Packet ID: 78 , latency: 0.000491292 sec
Packet ID: 69 , latency: 3.013894917 sec
Packet ID: 81 , latency: 0.000189208 sec
Packet ID: 54 , latency: 7.03906075 sec
Packet ID: 86 , latency: 0.000293584 sec
Packet ID: 70 , latency: 3.019098459 sec
Packet ID: 56 , latency: 8.0407505 sec
Packet ID: 87 , latency: 1.002128833 sec
Packet ID: 71 , latency: 4.020798208 sec
Packet ID: 91 , latency: 0.000309708 sec
Packet ID: 57 , latency: 9.046823 sec
Packet ID: 90 , latency: 1.006662958 sec
Packet ID: 72 , latency: 5.026873708 sec
Packet ID: 95 , latency: 0.000282083 sec
Packet ID: 62 , latency: 9.046651333 sec
Packet ID: 93 , latency: 1.0066795 sec
Packet ID: 73 , latency: 5.027436292 sec
Packet ID: 96 , latency: 0.000852208 sec
Packet ID: 64 , latency: 9.046931625 sec
Packet ID: 94 , latency: 2.012783125 sec
Packet ID: 74 , latency: 6.0335405 sec
Packet ID: 99 , latency: 1.006296667 sec
Packet ID: 79 , latency: 6.033582709 sec
Packet ID: 104 , latency: 0.000745125 sec
Packet ID: 76 , latency: 7.0395975 sec
Packet ID: 82 , latency: 7.037785625 sec
Packet ID: 112 , latency: 0.000441292 sec
Packet ID: 77 , latency: 8.043862792 sec
Packet ID: 110 , latency: 0.000736542 sec
Packet ID: 83 , latency: 7.038129917 sec
Packet ID: 113 , latency: 1.006428417 sec
Packet ID: 80 , latency: 8.04422425 sec
Packet ID: 111 , latency: 1.006838583 sec
Packet ID: 92 , latency: 7.03920275 sec
Packet ID: 114 , latency: 1.003932209 sec
Packet ID: 84 , latency: 8.041335459 sec
Packet ID: 118 , latency: 0.0003005 sec
Packet ID: 97 , latency: 6.033594542 sec
Packet ID: 120 , latency: 0.000626834 sec
Packet ID: 85 , latency: 9.0476215 sec
Packet ID: 122 , latency: 0.000455792 sec
Packet ID: 100 , latency: 6.030374625 sec
Packet ID: 126 , latency: 0.000678833 sec
Packet ID: 88 , latency: 9.049251292 sec
Packet ID: 101 , latency: 7.035938292 sec
Packet ID: 131 , latency: 0.000107167 sec
Packet ID: 89 , latency: 10.054810792 sec
Packet ID: 103 , latency: 8.042289083 sec
Packet ID: 98 , latency: 9.048694125 sec
Packet ID: 133 , latency: 0.00083475 sec
Packet ID: 109 , latency: 7.038685416 sec
Packet ID: 138 , latency: 0.000662375 sec
Packet ID: 102 , latency: 9.048695041 sec
Packet ID: 115 , latency: 7.036577458 sec
Packet ID: 139 , latency: 1.005140666 sec
Packet ID: 105 , latency: 9.047399125 sec
Packet ID: 144 , latency: 0.000421875 sec
Packet ID: 117 , latency: 7.039693083 sec
Packet ID: 140 , latency: 2.01125325 sec
Packet ID: 106 , latency: 10.053636125 sec
Packet ID: 147 , latency: 0.00072725 sec
Packet ID: 119 , latency: 8.045785625 sec
Packet ID: 141 , latency: 3.017677791 sec
Packet ID: 107 , latency: 11.060070875 sec
Packet ID: 149 , latency: 1.006894416 sec
Packet ID: 123 , latency: 8.043673791 sec
Packet ID: 152 , latency: 1.005023041 sec
Packet ID: 108 , latency: 12.064108458 sec
Packet ID: 150 , latency: 2.011048625 sec
Packet ID: 124 , latency: 9.049557125 sec
Packet ID: 153 , latency: 2.010892167 sec
Packet ID: 116 , latency: 11.05946075 sec
Packet ID: 154 , latency: 2.010636875 sec
Packet ID: 125 , latency: 9.053509958 sec
Packet ID: 157 , latency: 2.012896583 sec
Packet ID: 121 , latency: 10.056310958 sec
Packet ID: 161 , latency: 1.006770083 sec
Packet ID: 128 , latency: 10.056341541 sec
Packet ID: 159 , latency: 3.015745166 sec
Packet ID: 127 , latency: 10.05635775 sec
Packet ID: 171 , latency: 0.000161833 sec
Packet ID: 129 , latency: 11.062118666 sec
Packet ID: 162 , latency: 3.015790958 sec
Packet ID: 130 , latency: 10.05661775 sec
Packet ID: 173 , latency: 0.000336333 sec
Packet ID: 134 , latency: 10.055804916 sec
Packet ID: 165 , latency: 3.015079625 sec
Packet ID: 132 , latency: 10.056096 sec
Packet ID: 175 , latency: 1.005771416 sec
Packet ID: 135 , latency: 11.061988916 sec
Packet ID: 177 , latency: 0.000846916 sec
Packet ID: 136 , latency: 11.061853541 sec
Packet ID: 180 , latency: 0.000411708 sec
Packet ID: 142 , latency: 10.057665 sec
Packet ID: 137 , latency: 11.062354083 sec
Packet ID: 181 , latency: 1.006403708 sec
Packet ID: 143 , latency: 11.063757792 sec
Packet ID: 190 , latency: 0.000393292 sec
Packet ID: 146 , latency: 11.063340208 sec
Packet ID: 182 , latency: 1.007111625 sec
Packet ID: 145 , latency: 12.069612917 sec
Packet ID: 192 , latency: 0.000599084 sec
Packet ID: 148 , latency: 11.063647292 sec
Packet ID: 184 , latency: 2.012808625 sec
Packet ID: 155 , latency: 11.063144667 sec
Packet ID: 151 , latency: 12.069466042 sec
Packet ID: 187 , latency: 2.01318625 sec
Packet ID: 156 , latency: 12.067227 sec
Packet ID: 203 , latency: 0.000425625 sec
Packet ID: 158 , latency: 11.063297375 sec
Packet ID: 196 , latency: 1.004896 sec
Packet ID: 174 , latency: 8.045314042 sec
